scoutName,matchNumber,teamNumber,teamPosition,robotPosition,foul,autoMoved,autoBallInCrate,autoBunnyInCrate,autoComments,goodBallInCrate,goodBallOnFloor,badBallInCrate,badBallOnFloor,bunnyInCrate,teleopComments,Timestamp
 Milo,17,686, Best, Worst,0,yes,yes,undefined,Reliable auto,7,0,1,8,0,,"December 15, 2018 10:21:54 -0500"
 danny,1,5338,Blue, ,0,undefined,undefined,undefined,,4,1,0,0,1,,"December 15, 2018 12:34:08 -0500"
Bennett,1,87, Blue, B2,0,yes,undefined,undefined,,2,0,1,0,0,,"December 15, 2018 12:34:12 -0500"
 Tyler,1,5115, Red, Right,0,undefined,undefined,undefined,Bad,0,0,0,0,0,Nothing at all,"December 15, 2018 12:34:20 -0500"
 Aidan,1,4242, Red, ,0,yes,undefined,undefined,Moved but that was all,1,0,0,1,0,Stopped working for a few minutes and was out of control and slow,"December 15, 2018 12:34:48 -0500"
Milo,2,5338, Red, ,,yes,yes,undefined, Moved and shot went past line,5,3,,,, Cycle,"December 15, 2018 13:02:43 -0500"
 Aidan,2,449, Blue, ,0,undefined,undefined,undefined,Disconnected,3,0,0,2,0,Worked very well,"December 15, 2018 13:03:33 -0500"
Matthew,2,686, Blue,,,undefined,undefined,undefined, ,,,,,," I think they might have dumped some balls in a crate, but I couldn't tell","December 15, 2018 13:05:02 -0500"
Matthew,2,686, Blue, ,,undefined,undefined,undefined, ,,,,,, We did nothing productive,"December 15, 2018 13:05:40 -0500"
Matthew,,686, , ,,undefined,undefined,undefined, ,,,,,, ,"December 15, 2018 13:05:46 -0500"
 Tyler,2,5587, Red, Right,0,yes,undefined,undefined,,0,0,0,0,0,,"December 15, 2018 13:11:25 -0500"
 Henry,3,686, Blue, Right,0,undefined,yes,undefined,Couldn't see but we celebrated so I think something happened,1,0,0,0,0,Missed bunny,"December 15, 2018 14:01:57 -0500"
 Aidan,3,5115, Blue, ,0,yes,undefined,undefined,Ran into crates,0,0,0,0,0,Stopped working,"December 15, 2018 14:01:59 -0500"
 Tyler,3,5115, Red, Right,,yes,undefined,undefined, ,,,,,, ,"December 15, 2018 14:02:03 -0500"
Bennett,3,5338,Red, Left,,yes,undefined,undefined, ,5,1,,,, ,"December 15, 2018 14:02:26 -0500"
 Henry,,686, Blue, Right,,yes,yes,undefined, We moved,1,,,,, We moved more,"December 15, 2018 14:03:14 -0500"
 Milo,4,4242,Red, ,0,yes,yes,undefined,,6,2,0,0,0,One ball at a time,"December 15, 2018 14:27:40 -0500"
 Bennett,4,87, Blue,Right,0,yes,undefined,undefined,,1,0,0,0,0,Had trouble moving.,"December 15, 2018 14:27:48 -0500"
 Aidan,4,5338, Red, ,0,yes,undefined,undefined,Move forward a few feet,5,0,0,0,0,Very strategic ,"December 15, 2018 14:27:50 -0500"
Ben,4,5115, Blue, Left,,undefined,undefined,undefined, ,,1,,,, Could move fast like sanic,"December 15, 2018 14:28:06 -0500"
 Bennett,5,449, Red, Left,,undefined,undefined,undefined, None,,,,,, None,"December 15, 2018 14:39:21 -0500"
 Henry,7,5338, Red, Right,0,yes,undefined,undefined,,6,0,0,0,1,,"December 15, 2018 14:50:47 -0500"
Milo,7,4242, Blue, ,,yes,undefined,undefined, ,3,1,,,, Cycle,"December 15, 2018 14:50:48 -0500"
Matthew,,5115, Blue, ,,undefined,undefined,undefined, ,0,,,,, ,"December 15, 2018 14:50:53 -0500"
 Aidan,,449, Red, ,,yes,undefined,undefined, ,4,,,2,, Very good and strategic,"December 15, 2018 14:50:54 -0500"
 Henry,8,5587, Red, Right,,undefined,yes,undefined, ,1,,1,,, Stopped moving,"December 15, 2018 15:02:11 -0500"
 Aidan,8,5338, Blue, ,0,undefined,undefined,undefined,,4,0,0,0,0,Dominate :(,"December 15, 2018 15:03:13 -0500"
 Henry,9,5338, Red, Right,,yes,undefined,undefined, ,5,,,,1, ,"December 15, 2018 15:21:16 -0500"
 Aidan,9,87, Blue, ,0,undefined,undefined,undefined,Did nothing,5,0,0,0,0,,"December 15, 2018 15:21:23 -0500"
 Milo,9,5115, Red, ,0,undefined,undefined,undefined,,3,0,0,0,0,,"December 15, 2018 15:21:56 -0500"
Michael,9,4242, , ,,yes,undefined,undefined, ,8,1,1,1,,".\
*/","December 15, 2018 15:22:43 -0500"
 Milo,13,686,help, ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"December 25, 2018 16:23:46 -0500"
 Milo,13,686,help, ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"December 25, 2018 16:27:19 -0500"
 Milo,13,686,wah, ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"December 25, 2018 16:29:58 -0500"
 milo,13,686,wow, ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"December 25, 2018 16:33:18 -0500"
 milo,13,686, , ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"December 25, 2018 16:34:52 -0500"
 milo,13,686, , ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"December 25, 2018 16:35:50 -0500"
 milo,13,686, , ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"December 25, 2018 16:38:14 -0500"
 milo,13,686, , ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"December 25, 2018 16:39:15 -0500"
 milo,13,686, , ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"December 25, 2018 16:41:26 -0500"
 milo,13,686,welp, ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"December 25, 2018 16:58:46 -0500"
 milo,13,686,wow, ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"December 25, 2018 17:00:45 -0500"
 milo,13,686,wah, ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"December 25, 2018 17:02:08 -0500"
 milo,13,686, , ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"December 25, 2018 17:03:31 -0500"
 milo,13,686,wah, ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"December 25, 2018 17:04:42 -0500"
 milo,13,686,wah, ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"December 25, 2018 17:07:30 -0500"
 milo,13,686,hjs, ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"December 25, 2018 17:08:15 -0500"
 milo,13,686,wa, ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"December 25, 2018 17:14:50 -0500"
 Milo,13,686,jsdh, ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"December 25, 2018 17:17:01 -0500"
 milo,13,686, , ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"December 25, 2018 17:19:09 -0500"
 milo,13,686,there, ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"December 27, 2018 15:13:39 -0500"
 milo,13,686,where, ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"December 27, 2018 15:16:27 -0500"
 scooter,42,401, , ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"December 27, 2018 17:07:52 -0500"
 scooter,42,401, , ,,FALSE,FALSE,FALSE, ,,,,,, ,"December 27, 2018 17:08:08 -0500"
 milo,13,686,lol, ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"December 27, 2018 17:13:04 -0500"
 milo,13,686,blearg, ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"December 27, 2018 17:13:50 -0500"
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"December 27, 2018 17:16:41 -0500"
 Milo,13,686,gfh, ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"December 27, 2018 17:18:03 -0500"
 milo,13,686,lel, ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"December 27, 2018 17:19:10 -0500"
 milo,13,686,hkjwdh, ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"December 27, 2018 17:24:21 -0500"
 milo,13,686,1312jkh, ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"December 27, 2018 18:58:25 -0500"
 milo,13,686,oirwu, ,,FALSE,FALSE,FALSE, ,,,,,, ,"December 27, 2018 18:59:27 -0500"
 milo,13,686,kja, ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"December 27, 2018 18:59:49 -0500"
 milo,13,686,kdjha, ,,FALSE,FALSE,FALSE, ,,,,,, ,"December 27, 2018 19:03:18 -0500"
 milo,13,686,wah, ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"December 27, 2018 19:06:53 -0500"
 milo,13,686,echo that shit, ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"December 27, 2018 19:15:01 -0500"
 milo,13,686,new table?, ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"December 27, 2018 19:19:39 -0500"
 milo,13,686,test, ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"December 27, 2018 19:26:08 -0500"
 milo,13,686,fjhslk, ,,FALSE,FALSE,FALSE, ,,,,,, ,"December 27, 2018 19:28:42 -0500"
 milo,64,686,gfys, ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"December 27, 2018 19:30:56 -0500"
 sarjgald,13,686, helpful, ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"January 08, 2019 18:44:21 -0500"
 Milo,13,686, heeeelp, ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"January 08, 2019 18:45:48 -0500"
 jkh;kjh;k,13,686, hjfkj, ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"January 08, 2019 19:30:07 -0500"
 jkh;kjh;k,15,686, kfkhfk, agh,,FALSE,FALSE,FALSE, ,,,,,, ,"January 08, 2019 19:30:21 -0500"
 hellz no,13,undefined, , ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"January 09, 2019 17:52:25 -0500"
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,"January 09, 2019 17:56:15 -0500"
 fs;lkdfgjsjd,13,undefined, , ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"January 09, 2019 17:57:52 -0500"
 milo,13,686, , ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"January 09, 2019 18:05:50 -0500"
 milo,13,686, , ,,FALSE,FALSE,FALSE, ,,,,,, ,"January 09, 2019 18:06:25 -0500"
 klds;fjg;lsdkf,13,686,first test, ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"January 09, 2019 19:26:59 -0500"
 aslkd;jalfs,13,686,first, ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"January 09, 2019 19:31:20 -0500"
 sdg/sldkjgl,13,87,kdls;djfl, ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"January 09, 2019 19:32:06 -0500"
 sodfksdjflk,13,686,kill me, ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"January 09, 2019 19:32:47 -0500"
 milo,13,686,help, ,0,FALSE,FALSE,FALSE,,0,0,0,0,0,,"January 09, 2019 19:37:26 -0500"